"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.004580727E2,6.289941167E1,2.766831333E1,1.062468502E2,8.945872188E-1,1.844600067E2,1.700000048E0,8.100000381E0
2.014580727E2,6.289939833E1,2.766831667E1,1.066468341E2,9.342208505E-1,1.855500031E2,1.700000048E0,8.100000381E0
2.024580727E2,6.289938500E1,2.766831833E1,1.067468180E2,9.162055850E-1,1.825299988E2,1.700000048E0,8.399999619E0
2.034580727E2,6.289937167E1,2.766832667E1,1.066468017E2,9.131172299E-1,1.734100037E2,1.700000048E0,8.699999809E0
2.044580727E2,6.289935667E1,2.766834000E1,1.068467833E2,9.228969216E-1,1.777599945E2,1.799999952E0,8.800000191E0
2.054580727E2,6.289934167E1,2.766834333E1,1.072467652E2,9.671630263E-1,1.789600067E2,1.799999952E0,8.699999809E0
2.064580727E2,6.289933333E1,2.766835667E1,1.077467548E2,9.573833346E-1,1.808699951E2,1.799999952E0,8.699999809E0
2.074580727E2,6.289932167E1,2.766836167E1,1.077467406E2,9.522361159E-1,1.857400055E2,1.700000048E0,8.199999809E0
2.084580727E2,6.289931000E1,2.766836667E1,1.076467265E2,9.759133458E-1,1.841100006E2,1.700000048E0,8.399999619E0
2.094580727E2,6.289929833E1,2.766836833E1,1.074467124E2,9.630452991E-1,1.742700043E2,1.700000048E0,8.800000191E0
2.104580727E2,6.289928833E1,2.766837500E1,1.074467002E2,9.403975010E-1,1.724199982E2,1.700000048E0,8.399999619E0
2.114580727E2,6.289927500E1,2.766838667E1,1.072466838E2,9.275294542E-1,1.709499969E2,1.799999952E0,8.600000381E0
2.124580727E2,6.289926000E1,2.766839167E1,1.071466656E2,9.455447197E-1,1.754799957E2,1.799999952E0,8.899999619E0
2.134580727E2,6.289924667E1,2.766839667E1,1.066466495E2,9.321619272E-1,1.730800018E2,1.799999952E0,8.399999619E0
2.144580727E2,6.289923667E1,2.766840667E1,1.065466372E2,9.136319160E-1,1.709700012E2,1.700000048E0,8.500000000E0
2.154580727E2,6.289922333E1,2.766840667E1,1.063466211E2,9.089994431E-1,1.746100006E2,1.700000048E0,8.699999809E0
2.164580727E2,6.289921333E1,2.766840000E1,1.061466092E2,9.306177497E-1,1.793600006E2,1.700000048E0,8.899999619E0
2.174580727E2,6.289920333E1,2.766840000E1,1.059465972E2,9.234116673E-1,1.739499969E2,1.700000048E0,8.600000381E0
2.184580727E2,6.289919500E1,2.766839833E1,1.059465872E2,9.053964019E-1,1.796100006E2,1.700000048E0,8.699999809E0
