"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.884244477E1,1.553201675E-1,5.055850744E-2,-1.009933949E-1
3.884495039E1,1.328573227E-1,3.663051128E-2,-1.266028881E-1
3.884745623E1,1.090450287E-1,4.534953833E-2,-1.451621056E-1
3.884996198E1,1.104860306E-1,8.770775795E-2,-1.248505116E-1
3.885246783E1,9.174442291E-2,1.389150023E-1,-1.384298801E-1
3.885497345E1,7.608318329E-2,1.714374423E-1,-1.350846291E-1
3.885747921E1,5.226516724E-2,1.941529214E-1,-1.344344616E-1
3.885998504E1,4.461574554E-2,1.964407265E-1,-1.271944046E-1
3.886249066E1,3.983116150E-2,1.970014572E-1,-1.186184883E-1
3.886499643E1,6.686973572E-2,2.021796703E-1,-7.795619965E-2
3.886750227E1,5.493545532E-2,2.058216333E-1,-8.955740929E-2
3.887000788E1,4.405689240E-2,2.179589570E-1,-1.059670448E-1
3.887251372E1,4.028606415E-2,2.402270436E-1,-1.124172211E-1
3.887501949E1,4.323005676E-2,2.491228580E-1,-1.199326515E-1
3.887752511E1,6.544876099E-2,2.594834268E-1,-1.503129005E-1
3.888003099E1,5.150985718E-2,2.455640137E-1,-1.767723560E-1
3.888253676E1,3.771781921E-2,2.509912848E-1,-1.898736954E-1
3.888504238E1,4.084968567E-2,2.582962811E-1,-1.904628277E-1
